X,CH1:W,Start,Increment,Average
275,0.24,,2.76,0.3296
276,0.224,,2.77,0.3568
277,0.456,,2.78,0.3584
278,0.208,,2.79,0.3624
279,0.496,,2.8,0.3912
280,0.24,,2.81,0.3656
281,0.472,,2.82,0.3664
282,0.248,,2.83,0.3672
283,0.496,,2.84,0.392
284,0.216,,2.85,0.3664
285,0.512,,2.86,0.3944
286,0.24,,2.87,0.3672
287,0.496,,2.88,0.368
288,0.496,,2.89,0.368
289,0.24,,2.9,0.3424
290,0.248,,2.91,0.3648
291,0.48,,2.92,0.364
292,0.496,,2.93,0.3648
293,0.24,,2.94,0.3392
294,0.496,,2.95,0.364
295,0.24,,2.96,0.3384
296,0.248,,2.97,0.3648
297,0.496,,2.98,0.3632
298,0.24,,2.99,0.3632
299,0.464,,3,0.388
300,0.24,,3.01,0.3656
301,0.488,,3.02,0.3656
302,0.24,,3.03,0.3664
303,0.488,,3.04,0.3624
304,0.24,,3.05,0.3648
305,0.504,,3.06,0.3656
306,0.232,,3.07,0.3648
307,0.496,,3.08,0.3664
308,0.488,,3.09,0.3672
309,0.24,,3.1,0.3432
310,0.24,,3.11,0.3688
311,0.496,,3.12,0.3656
312,0.2,,3.13,0.3664
313,0.512,,3.14,0.3696
314,0.248,,3.15,0.3672
315,0.496,,3.16,0.3664
316,0.248,,3.17,0.3664
317,0.504,,3.18,0.3616
318,0.248,,3.19,0.3624
319,0.496,,3.2,0.3624
320,0.208,,3.21,0.3624
321,0.504,,3.22,0.3656
322,0.232,,3.23,0.3656
323,0.488,,3.24,0.3664
324,0.24,,3.25,0.3672
325,0.496,,3.26,0.368
326,0.2,,3.27,0.368
327,0.512,,3.28,0.3976
328,0.248,,3.29,0.3712
329,0.496,,3.3,0.3696
330,0.24,,3.31,0.3672
331,0.504,,3.32,0.3672
332,0.24,,3.33,0.3664
333,0.496,,3.34,0.3656
334,0.248,,3.35,0.3664
335,0.496,,3.36,0.3656
336,0.496,,3.37,0.3672
337,0.248,,3.38,0.3664
338,0.232,,3.39,0.3656
339,0.472,,3.4,0.3912
340,0.24,,3.41,0.368
341,0.496,,3.42,0.3944
342,0.232,,3.43,0.3688
343,0.504,,3.44,0.3696
344,0.24,,3.45,0.368
345,0.512,,3.46,0.3688
346,0.488,,3.47,0.3672
347,0.24,,3.48,0.3424
348,0.488,,3.49,0.3672
349,0.24,,3.5,0.3416
350,0.504,,3.51,0.3648
351,0.24,,3.52,0.336
352,0.24,,3.53,0.3616
353,0.488,,3.54,0.3608
354,0.248,,3.55,0.3616
355,0.496,,3.56,0.3584
356,0.24,,3.57,0.3584
357,0.488,,3.58,0.3832
358,0.232,,3.59,0.3584
