X,CH1:W,Start,Increment,Average
881,0.496,,8.82,0.3688
882,0.496,,8.83,0.3688
883,0.24,,8.84,0.3448
884,0.488,,8.85,0.3696
885,0.232,,8.86,0.3456
886,0.496,,8.87,0.372
887,0.24,,8.88,0.3464
888,0.512,,8.89,0.3688
889,0.24,,8.9,0.3416
890,0.248,,8.91,0.368
891,0.496,,8.92,0.364
892,0.256,,8.93,0.364
893,0.488,,8.94,0.3624
894,0.248,,8.95,0.3632
895,0.496,,8.96,0.3632
896,0.24,,8.97,0.3624
897,0.464,,8.98,0.3624
898,0.24,,8.99,0.3656
899,0.504,,9,0.3648
900,0.208,,9.01,0.3656
901,0.496,,9.02,0.3688
902,0.24,,9.03,0.3672
903,0.496,,9.04,0.3672
904,0.248,,9.05,0.3672
905,0.488,,9.06,0.3896
906,0.24,,9.07,0.3656
907,0.496,,9.08,0.3656
908,0.232,,9.09,0.3632
909,0.512,,9.1,0.3632
910,0.24,,9.11,0.3632
911,0.48,,9.12,0.3632
912,0.24,,9.13,0.3648
913,0.496,,9.14,0.3656
914,0.472,,9.15,0.3672
915,0.248,,9.16,0.344
916,0.24,,9.17,0.3688
917,0.472,,9.18,0.3696
918,0.232,,9.19,0.3744
919,0.512,,9.2,0.376
920,0.24,,9.21,0.3744
921,0.496,,9.22,0.3736
922,0.248,,9.23,0.3728
923,0.512,,9.24,0.3712
924,0.24,,9.25,0.3712
925,0.496,,9.26,0.3704
926,0.248,,9.27,0.3704
927,0.52,,9.28,0.3664
928,0.248,,9.29,0.364
929,0.496,,9.3,0.3656
930,0.232,,9.31,0.3656
931,0.488,,9.32,0.3904
932,0.232,,9.33,0.3648
933,0.512,,9.34,0.3912
934,0.232,,9.35,0.364
935,0.496,,9.36,0.3648
936,0.208,,9.37,0.3648
937,0.496,,9.38,0.3688
938,0.264,,9.39,0.3688
939,0.496,,9.4,0.3664
940,0.48,,9.41,0.3664
941,0.232,,9.42,0.3432
942,0.496,,9.43,0.3696
943,0.24,,9.44,0.3448
944,0.24,,9.45,0.3704
945,0.496,,9.46,0.3704
946,0.248,,9.47,0.3696
947,0.496,,9.48,0.3688
948,0.24,,9.49,0.3688
949,0.496,,9.5,0.3688
950,0.248,,9.51,0.368
951,0.496,,9.52,0.3928
952,0.248,,9.53,0.3672
953,0.496,,9.54,0.3664
954,0.24,,9.55,0.3664
955,0.488,,9.56,0.3656
956,0.24,,9.57,0.3664
957,0.496,,9.58,0.3664
958,0.24,,9.59,0.3664
959,0.488,,9.6,0.3656
960,0.496,,9.61,0.3664
961,0.24,,9.62,0.34
962,0.24,,9.63,0.3648
963,0.496,,9.64,0.3648
964,0.232,,9.65,0.3648
965,0.496,,9.66,0.3928
966,0.24,,9.67,0.3664
967,0.496,,9.68,0.3656
968,0.232,,9.69,0.3656
969,0.496,,9.7,0.392
970,0.232,,9.71,0.3664
971,0.488,,9.72,0.3928
972,0.24,,9.73,0.3672
973,0.496,,9.74,0.3664
974,0.512,,9.75,0.3664
975,0.232,,9.76,0.3384
976,0.232,,9.77,0.364
977,0.496,,9.78,0.3648
978,0.496,,9.79,0.3624
979,0.24,,9.8,0.336
980,0.496,,9.81,0.3616
981,0.232,,9.82,0.3352
982,0.232,,9.83,0.3608
983,0.496,,9.84,0.3872
984,0.232,,9.85,0.3616
985,0.488,,9.86,0.3864
986,0.24,,9.87,0.3616
987,0.472,,9.88,0.3616
988,0.232,,9.89,0.364
989,0.496,,9.9,0.3904
990,0.232,,9.91,0.3632
991,0.488,,9.92,0.3632
992,0.496,,9.93,0.364
993,0.24,,9.94,0.3384
994,0.48,,9.95,0.364
995,0.24,,9.96,0.3392
996,0.24,,9.97,0.3648
997,0.496,,9.98,0.3648
998,0.496,,9.99,0.3648
999,0.224,,10,0.3384
1000,0.232,,10.01,0.3656
1001,0.496,,10.02,0.3664
1002,0.24,,10.03,0.372
1003,0.496,,10.04,0.3712
1004,0.232,,10.05,0.3728
1005,0.496,,10.06,0.3736
1006,0.24,,10.07,0.3736
1007,0.496,,10.08,0.3984
1008,0.232,,10.09,0.3728
1009,0.496,,10.1,0.3744
1010,0.24,,10.11,0.3744
1011,0.552,,10.12,0.3752
1012,0.232,,10.13,0.3696
1013,0.512,,10.14,0.3688
1014,0.24,,10.15,0.3672
1015,0.496,,10.16,0.364
1016,0.488,,10.17,0.364
1017,0.24,,10.18,0.3384
1018,0.248,,10.19,0.364
1019,0.496,,10.2,0.3904
1020,0.248,,10.21,0.3648
1021,0.496,,10.22,0.3632
1022,0.224,,10.23,0.3632
1023,0.496,,10.24,0.3904
1024,0.208,,10.25,0.3648
1025,0.496,,10.26,0.368
1026,0.232,,10.27,0.368
1027,0.496,,10.28,0.3944
1028,0.512,,10.29,0.3688
1029,0.24,,10.3,0.3416
1030,0.232,,10.31,0.3672
1031,0.496,,10.32,0.368
1032,0.496,,10.33,0.368
1033,0.24,,10.34,0.3424
1034,0.24,,10.35,0.3688
1035,0.496,,10.36,0.3688
1036,0.496,,10.37,0.3688
1037,0.24,,10.38,0.3416
1038,0.24,,10.39,0.3656
1039,0.496,,10.4,0.3624
1040,0.24,,10.41,0.364
1041,0.496,,10.42,0.3608
1042,0.24,,10.43,0.3608
1043,0.504,,10.44,0.3864
1044,0.24,,10.45,0.36
1045,0.496,,10.46,0.3856
1046,0.224,,10.47,0.36
1047,0.48,,10.48,0.3616
1048,0.208,,10.49,0.3632
1049,0.512,,10.5,0.3664
1050,0.208,,10.51,0.3648
1051,0.496,,10.52,0.3672
1052,0.496,,10.53,0.3664
1053,0.24,,10.54,0.3432
1054,0.496,,10.55,0.3704
1055,0.24,,10.56,0.3416
1056,0.24,,10.57,0.368
1057,0.496,,10.58,0.368
1058,0.24,,10.59,0.368
1059,0.496,,10.6,0.3688
1060,0.232,,10.61,0.3672
1061,0.488,,10.62,0.368
1062,0.264,,10.63,0.3688
1063,0.512,,10.64,0.3664
1064,0.208,,10.65,0.3656
1065,0.504,,10.66,0.3696
1066,0.24,,10.67,0.3664
1067,0.496,,10.68,0.3664
1068,0.248,,10.69,0.3664
1069,0.48,,10.7,0.3664
1070,0.24,,10.71,0.368
1071,0.496,,10.72,0.3672
1072,0.24,,10.73,0.3672
1073,0.504,,10.74,0.3664
1074,0.248,,10.75,0.3664
1075,0.472,,10.76,0.3648
1076,0.24,,10.77,0.3672
1077,0.496,,10.78,0.3672
1078,0.248,,10.79,0.3672
1079,0.496,,10.8,0.3664
1080,0.232,,10.81,0.3664
1081,0.496,,10.82,0.3912
1082,0.232,,10.83,0.3632
1083,0.504,,10.84,0.364
1084,0.232,,10.85,0.3648
1085,0.496,,10.86,0.3656
1086,0.24,,10.87,0.3648
1087,0.496,,10.88,0.3624
1088,0.24,,10.89,0.3624
1089,0.496,,10.9,0.36
1090,0.48,,10.91,0.36
1091,0.216,,10.92,0.336
1092,0.24,,10.93,0.3632
1093,0.512,,10.94,0.364
1094,0.24,,10.95,0.3616
1095,0.488,,10.96,0.3624
1096,0.216,,10.97,0.36
1097,0.496,,10.98,0.3624
1098,0.216,,10.99,0.3624
1099,0.496,,11,0.3648
1100,0.24,,11.01,0.3648
1101,0.488,,11.02,0.392
1102,0.248,,11.03,0.3672
1103,0.488,,11.04,0.3664
1104,0.248,,11.05,0.3672
1105,0.464,,11.06,0.3664
1106,0.24,,11.07,0.3688
1107,0.496,,11.08,0.368
1108,0.24,,11.09,0.3648
1109,0.496,,11.1,0.364
1110,0.512,,11.11,0.3616
1111,0.24,,11.12,0.3344
1112,0.24,,11.13,0.36
1113,0.496,,11.14,0.3576
1114,0.24,,11.15,0.3584
1115,0.488,,11.16,0.384
1116,0.232,,11.17,0.3592
1117,0.464,,11.18,0.3856
1118,0.232,,11.19,0.3624
1119,0.472,,11.2,0.3888
1120,0.24,,11.21,0.3656
1121,0.496,,11.22,0.3664
1122,0.216,,11.23,0.3648
1123,0.504,,11.24,0.3664
1124,0.496,,11.25,0.3656
1125,0.24,,11.26,0.3392
1126,0.496,,11.27,0.3648
1127,0.232,,11.28,0.3384
1128,0.496,,11.29,0.3656
1129,0.24,,11.3,0.34
1130,0.248,,11.31,0.3664
1131,0.48,,11.32,0.3664
1132,0.232,,11.33,0.368
1133,0.496,,11.34,0.3952
1134,0.232,,11.35,0.3696
1135,0.496,,11.36,0.396
1136,0.232,,11.37,0.3712
1137,0.504,,11.38,0.404
1138,0.24,,11.39,0.3808
1139,0.504,,11.4,0.4088
1140,0.248,,11.41,0.3824
1141,0.496,,11.42,0.3832
1142,0.504,,11.43,0.3848
1143,0.24,,11.44,0.3592
1144,0.496,,11.45,0.3864
1145,0.248,,11.46,0.36
1146,0.56,,11.47,0.3848
1147,0.272,,11.48,0.3528
1148,0.52,,11.49,0.3728
1149,0.24,,11.5,0.344
1150,0.256,,11.51,0.3696
1151,0.512,,11.52,0.3696
1152,0.248,,11.53,0.3712
1153,0.512,,11.54,0.3704
1154,0.232,,11.55,0.3648
1155,0.496,,11.56,0.3872
1156,0.24,,11.57,0.3608
1157,0.472,,11.58,0.3832
1158,0.232,,11.59,0.36
1159,0.496,,11.6,0.3824
1160,0.256,,11.61,0.3584
1161,0.528,,11.62,0.3784
1162,0.24,,11.63,0.3504
1163,0.456,,11.64,0.3504
1164,0.456,,11.65,0.3504
1165,0.232,,11.66,0.3288
1166,0.464,,11.67,0.3512
1167,0.24,,11.68,0.3288
1168,0.456,,11.69,0.3504
1169,0.256,,11.7,0.328
1170,0.456,,11.71,0.348
1171,0.248,,11.72,0.3272
1172,0.24,,11.73,0.348
1173,0.456,,11.74,0.3696
1174,0.24,,11.75,0.3472
1175,0.456,,11.76,0.3688
1176,0.24,,11.77,0.348
1177,0.456,,11.78,0.3696
1178,0.232,,11.79,0.348
1179,0.456,,11.8,0.3704
1180,0.248,,11.81,0.3488
1181,0.456,,11.82,0.348
1182,0.456,,11.83,0.348
1183,0.232,,11.84,0.3272
1184,0.456,,11.85,0.3496
1185,0.248,,11.86,0.328
1186,0.456,,11.87,0.3488
1187,0.24,,11.88,0.3488
1188,0.456,,11.89,0.3496
1189,0.24,,11.9,0.3296
1190,0.24,,11.91,0.3512
1191,0.456,,11.92,
1192,0.248,,11.93,
1193,0.456,,11.94,
1194,0.24,,11.95,
1195,0.456,,11.96,
1196,0.456,,11.97,
1197,0.248,,11.98,
1198,0.256,,11.99,
1199,0.456,,12,
